The Speak Easy,"['Indiana State Fairgrounds & Event Center', 'Around the Table Events', ""JANA'E MARIE EVENTS"", 'Christina Burton Events', 'Bullseye Event Group', 'Tori Leigh', 'Paradox', 'ISF Discovery Hall', 'ISF Centennial Hall', 'Broad Ripple Events LLC', 'Harrson Brook Center~ Poetry An Pie', 'Bullseye Ticket Group', 'The Speak Easy', 'SoBro Campers', 'The Green House']",15
zWORKS,"['NBE Event Group', 'CRRG Events', 'Venue Intelligence', 'Dappy Hays, LLC', 'Sterler Productions', 'Events & Florals of Zionsville']",6
Launch Fishers,"['FORUM Events Center', 'Events by D. Nicole', 'IndyMojo.com', 'ProjectCon', 'Beemer Enterprises LLC', 'The Bluffs at Conner Prairie', 'K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities', 'The Switch Theatre', 'Stony Creek - Fishers', 'Delaware Township Community Center', 'Nickel Plate District Amphitheater']",11
Industrious Mass Ave,"['Event Liftoff', 'Blue Llama Events', 'Biltwell Event Center', 'The Crane Bay Event Center', 'Mavris Arts & Event Center', 'Family Events', 'Tinker House Events', 'Bullseye Event Center', 'Indiana Roof Ballroom', 'The Cyrus Place - unique weddings venue and events center', 'VisionLoft Events', 'Fern', 'Glow Party Pros', 'INDUSTRY', 'Royal Weddings and Events', 'Graceful Lily Events', 'gMedia Event Services', 'McGowan Hall', 'The Event Set', 'RIPCORD EVENTS']",20
Launch Indy,"['Event Liftoff', 'Blue Llama Events', 'Biltwell Event Center', 'Family Events', 'Mavris Arts & Event Center', 'The Crane Bay Event Center', 'The Cyrus Place - unique weddings venue and events center', 'INDUSTRY', 'Bullseye Event Center', 'VisionLoft Events', 'Fern', 'Glow Party Pros', 'Royal Weddings and Events', 'JPS Events at Regions Tower', 'Indiana Roof Ballroom', 'gMedia Event Services', 'The Event Set', 'RIPCORD EVENTS', 'Gate Ten Events and Parking', '416 Wabash Event Space']",20
