The Speak Easy,"['Aristocrat Pub & Restaurant', 'Delicia', 'Diavola', 'Yats', ""Good Morning Mama's Cafe"", ""Mama Carolla's"", 'Half Liter BBQ & Beer Hall', 'La Mulita', 'Twenty Tap', ""Sam's Gyros"", ""Greek's Pizzeria""]",11
zWORKS,"['Cobblestone', 'The Friendly Tavern', ""Rosie's Place"", 'The Lemon Bar', 'Rush On Main', 'Zionsville Pizzeria', ""Noah Grant's Grill House & Oyster Bar"", 'Salty Cowboy', 'Convivio Italian Artisan Cuisine - Zionsville', ""Greek's Pizzeria Zionsville"", 'Dairy Queen Grill & Chill']",11
Launch Fishers,"[""Wendy's"", 'Hong Kong Cuisine']",2
Industrious Mass Ave,"['Weber Grill Restaurant', 'Yard House', 'Café Patachou', 'Buca di Beppo', 'Nada', ""McCormick & Schmick's Seafood & Steaks"", 'Subito', 'Bangkok Restaurant & Jazz Bar', 'The Oceanaire Seafood Room', 'A&W Restaurant', 'Crab 99 Bar and Restaurant', 'Pearl Street Pizzeria & Pub', 'Fogo de Chão Brazilian Steakhouse', ""Giordano's"", 'QDOBA Mexican Eats', 'Mikado', 'Potbelly Sandwich Shop', 'Hooters', 'The Old Spaghetti Factory', 'QDOBA Mexican Eats']",20
Launch Indy,"['Greek Islands', ""Shapiro's Delicatessen"", 'White Castle', 'QDOBA Mexican Eats', ""Arby's"", 'Mikado', 'The Old Spaghetti Factory', 'Hooters', 'Spoke & Steele']",9
